numgc,nproc,mark,sweep,cleanup,heap0,heap1,obj0,obj1,nmalloc,nfree,nhandoff
1,1,0,0,0,0,0,372,302,373,71,0
2,2,0,0,0,1,1,965,784,1102,318,7
3,2,0,0,0,2,2,2008,1932,2443,511,83
4,2,1,0,0,5,4,40490,9335,46947,37612,452
5,2,2,4,0,10,5,145273,9796,207074,197278,7
6,2,1,3,0,10,5,163850,9359,388676,379317,529
7,2,2,3,0,10,5,165691,9524,573016,563492,508
8,2,1,4,0,11,5,169192,10038,761097,751059,273
9,2,2,5,0,11,5,149228,9980,924906,914926,116
10,2,2,6,0,11,5,167675,10007,1110657,1100650,0
11,2,2,4,0,11,5,173832,9738,1303760,1294022,127
12,2,2,3,0,11,5,174871,9970,1498360,1488390,0
13,2,6,5,0,11,5,159138,10020,1673958,1663938,5
14,2,1,3,0,11,5,162057,9795,1852978,1843183,622
15,2,4,8,0,11,5,173016,10102,2045311,2035209,0
16,2,2,3,0,11,5,173651,9883,2238151,2228268,198
17,2,1,4,0,11,5,164818,10245,2420613,2410368,628
18,2,4,3,0,11,5,158628,9813,2595256,2585443,0
19,2,1,3,0,11,5,174091,9881,2788900,2779019,580
20,2,1,3,0,11,5,174579,9828,2982976,2973148,592
21,2,1,4,0,11,5,174569,9827,3177061,3167234,524
22,2,1,4,0,11,5,157846,9765,3351240,3341475,480
23,2,1,3,0,11,5,169445,10026,3539325,3529299,596
24,2,3,5,0,11,5,174940,9913,3733748,3723835,505
25,2,1,3,0,11,5,174388,9924,3927545,3917621,676
26,2,2,3,0,11,5,162726,9881,4107445,4097564,0
27,2,2,4,0,11,5,164614,9999,4289631,4279632,0
28,2,1,5,0,11,5,175441,9630,4484608,4474978,443
29,2,2,3,0,11,5,173821,9739,4678094,4668355,279
30,2,2,3,0,11,5,168518,9829,4865099,4855270,205
31,2,2,4,0,11,5,164543,10002,5047240,5037238,93
32,2,3,16,1,11,5,171617,9747,5237685,5227938,0
33,2,2,3,0,11,5,177818,9846,5435804,5425958,76
34,2,1,4,0,11,5,171653,10185,5626327,5616142,606
35,2,3,5,0,11,5,166062,10188,5809866,5799678,99
36,2,2,3,0,11,5,169774,9651,5997830,5988179,324
37,2,1,5,0,11,5,177742,9951,6195892,6185941,627
38,2,2,3,0,11,5,175847,9747,6391380,6381633,0
39,2,2,6,0,11,5,164507,9959,6573603,6563644,0
40,2,2,7,0,11,5,169388,9729,6761407,6751678,433
41,2,1,4,0,11,5,175981,9795,6957240,6947445,673
42,2,1,6,0,11,5,177463,10073,7154783,7144710,436
43,2,1,3,0,11,5,168366,9930,7341224,7331294,421
44,2,1,3,0,11,5,166207,10307,7525263,7514956,485
45,2,1,4,0,11,5,176133,9857,7720636,7710779,582
46,2,2,6,0,11,5,177528,9634,7918235,7908601,0
47,2,1,4,0,11,5,173831,9966,8111550,8101584,638
