numgc,nproc,mark,sweep,cleanup,heap0,heap1,obj0,obj1,nmalloc,nfree,nhandoff,nhandoffcnt,nsteal,nstealcnt,nprocyield,nosyield,nsleep
1,1,0,0,0,0,0,16,18,19,1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,36,36,37,1,0,0,0,0,0,0,0
3,1,0,0,0,0,0,570,438,571,133,0,0,0,0,0,0,0
4,1,0,0,0,1,1,534,479,671,192,0,0,0,0,0,0,0
5,2,2,0,0,3,3,731,730,923,193,0,0,5,49,16,5,2
6,2,2,0,0,7,6,31237,9801,34007,24206,0,0,2,122,13,5,1
7,2,6,0,0,13,6,153785,10887,193555,182668,0,0,10,1236,22,4,0
8,2,2,3,0,13,6,160971,10680,359728,349048,0,0,3,351,22,15,31
9,2,0,2,2,13,7,151388,11299,515514,504215,0,0,9,558,16,5,1
10,2,2,1,0,14,7,154965,11543,674373,662830,1,4,2,287,21,5,1
11,2,4,2,0,14,7,167830,11974,847608,835634,3,125,10,1368,22,4,0
12,2,4,2,0,14,7,160691,11946,1012309,1000363,0,0,3,247,22,13,7
13,2,4,0,3,14,7,158881,12567,1174607,1162040,0,0,4,1114,22,4,0
14,2,2,1,0,14,7,174978,12317,1354696,1342379,0,0,2,122,21,5,0
15,2,3,1,0,14,7,167392,12395,1526416,1514021,1,5,3,256,22,13,9
16,2,2,2,0,15,7,162912,12760,1692938,1680178,1,2,9,513,22,12,0
17,2,2,1,0,14,7,175932,12445,1873689,1861244,1,6,3,147,22,12,2
18,2,6,1,0,14,7,169251,12359,2047341,2034982,0,0,2,238,22,13,1
19,2,2,1,0,14,7,160234,12705,2210920,2198215,0,0,4,280,22,4,0
20,2,2,1,0,14,7,177180,11728,2393178,2381450,1,11,3,30,22,13,2
21,2,2,1,0,14,7,167510,12761,2565643,2552882,1,5,3,213,24,3,0
22,2,2,1,0,15,7,164587,12835,2733640,2720805,0,0,2,218,22,6,1
23,2,2,4,0,15,7,178492,12515,2917078,2904563,0,0,4,650,7,4,1
24,2,2,1,0,15,7,168534,13101,3089814,3076713,0,0,4,320,13,2,0
25,2,2,2,0,15,7,165632,12324,3258756,3246432,1,5,3,131,22,3,0
26,2,2,1,0,14,7,175851,12305,3439888,3427583,1,5,3,239,25,3,0
27,2,2,1,0,14,7,167755,12495,3611900,3599405,3,152,2,255,30,22,2
28,2,2,1,1,15,7,165685,12621,3781459,3768838,2,168,3,263,42,30,1
29,2,9,0,1,15,7,175736,12035,3962096,3950061,1,5,10,1460,16,14,17
30,2,2,2,0,14,7,166244,13128,4132786,4119658,0,0,5,61,10,4,2
31,2,2,1,0,15,7,169349,12474,4305723,4293249,1,10,2,265,22,12,1
32,2,2,1,0,15,7,178726,12348,4489954,4477606,0,0,2,207,13,2,0
33,2,2,1,0,15,7,168942,12195,4663046,4650851,1,5,3,217,22,7,0
34,2,4,2,0,15,7,167527,13020,4835218,4822198,3,150,7,288,26,18,7
35,2,0,1,4,15,7,179931,13216,5020015,5006799,3,167,2,229,32,17,2
36,2,5,0,0,15,7,168526,13637,5191822,5178185,2,14,4,1000,22,13,2
37,2,2,1,0,15,7,173049,12512,5368421,5355909,0,0,3,173,22,4,0
38,2,2,1,0,15,7,177955,12479,5551628,5539149,3,161,3,211,32,14,1
39,2,3,1,0,15,7,167815,12535,5723539,5711004,2,41,2,212,22,15,4
40,2,2,1,0,15,7,173134,12851,5901280,5888429,0,0,4,228,14,3,0
41,2,2,1,0,15,7,177055,12703,6083163,6070460,1,6,2,220,30,4,0
42,2,2,5,0,15,7,166226,12361,6252911,6240550,3,155,6,74,16,14,61
43,2,2,1,0,15,7,173147,12548,6430972,6418424,1,6,2,209,25,6,0
44,2,3,1,0,15,7,175594,12454,6611527,6599073,0,0,3,172,22,4,0
45,2,2,1,0,15,7,165647,12734,6780965,6768231,1,2,1,37,22,8,0
46,2,2,1,0,15,7,173889,12838,6959371,6946533,0,0,3,53,13,3,0
47,2,0,1,3,15,7,177351,12712,7141602,7128890,3,150,3,238,32,14,1
48,2,2,1,0,15,7,166428,12482,7311718,7299236,1,8,2,37,22,12,1
49,2,2,1,0,15,7,175068,12750,7491710,7478960,1,5,3,323,22,13,3
50,2,4,1,0,15,7,175158,12938,7671611,7658673,0,0,3,255,16,14,3
51,2,1,1,1,15,7,167345,12626,7842476,7829850,3,150,3,179,32,13,1
52,2,7,2,0,15,7,176808,12472,8024189,8011717,1,6,6,300,16,14,29
53,2,4,3,0,15,7,176461,12389,8205796,8193407,2,64,9,672,22,4,0
54,2,0,1,4,15,7,167050,11972,8376930,8364958,3,100,3,292,22,13,1
55,2,2,1,0,15,7,175420,13218,8557944,8544726,0,0,3,238,22,4,0
56,2,2,1,0,15,7,177684,12748,8740070,8727322,0,0,2,184,22,2,0
57,2,4,2,0,15,7,168369,12889,8912349,8899460,0,0,3,616,22,6,2
58,2,1,1,2,15,7,180201,12735,9097593,9084858,3,155,3,289,32,22,2
59,2,2,1,0,15,7,175369,12998,9277690,9264692,0,0,3,180,22,3,0
60,2,3,1,0,15,7,167299,13271,9448415,9435144,0,0,3,273,12,5,1
61,2,7,0,0,15,7,180185,13044,9633229,9620185,2,11,10,1493,22,15,2
62,2,2,1,0,15,7,175018,13017,9812573,9799556,0,0,2,210,20,4,0
63,2,3,1,0,15,7,167805,12894,9983900,9971006,0,0,4,350,16,2,0
64,2,2,2,0,15,7,177604,13137,10166283,10153146,0,0,8,262,8,4,3
