gc1(1): 0+0+0 ms, 0 -> 0 MB 16 -> 18 (19-1) objects, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc2(1): 0+0+0 ms, 0 -> 0 MB 36 -> 36 (37-1) objects, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc3(1): 0+0+0 ms, 0 -> 0 MB 570 -> 438 (571-133) objects, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc4(1): 0+0+0 ms, 1 -> 1 MB 534 -> 479 (671-192) objects, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc5(2): 2+0+0 ms, 3 -> 3 MB 731 -> 730 (923-193) objects, 0(0) handoff, 5(49) steal, 16/5/2 yields
gc6(2): 2+0+0 ms, 7 -> 6 MB 31237 -> 9801 (34007-24206) objects, 0(0) handoff, 2(122) steal, 13/5/1 yields
gc7(2): 6+0+0 ms, 13 -> 6 MB 153785 -> 10887 (193555-182668) objects, 0(0) handoff, 10(1236) steal, 22/4/0 yields
gc8(2): 2+3+0 ms, 13 -> 6 MB 160971 -> 10680 (359728-349048) objects, 0(0) handoff, 3(351) steal, 22/15/31 yields
gc9(2): 0+2+2 ms, 13 -> 7 MB 151388 -> 11299 (515514-504215) objects, 0(0) handoff, 9(558) steal, 16/5/1 yields
gc10(2): 2+1+0 ms, 14 -> 7 MB 154965 -> 11543 (674373-662830) objects, 1(4) handoff, 2(287) steal, 21/5/1 yields
gc11(2): 4+2+0 ms, 14 -> 7 MB 167830 -> 11974 (847608-835634) objects, 3(125) handoff, 10(1368) steal, 22/4/0 yields
gc12(2): 4+2+0 ms, 14 -> 7 MB 160691 -> 11946 (1012309-1000363) objects, 0(0) handoff, 3(247) steal, 22/13/7 yields
gc13(2): 4+0+3 ms, 14 -> 7 MB 158881 -> 12567 (1174607-1162040) objects, 0(0) handoff, 4(1114) steal, 22/4/0 yields
gc14(2): 2+1+0 ms, 14 -> 7 MB 174978 -> 12317 (1354696-1342379) objects, 0(0) handoff, 2(122) steal, 21/5/0 yields
gc15(2): 3+1+0 ms, 14 -> 7 MB 167392 -> 12395 (1526416-1514021) objects, 1(5) handoff, 3(256) steal, 22/13/9 yields
gc16(2): 2+2+0 ms, 15 -> 7 MB 162912 -> 12760 (1692938-1680178) objects, 1(2) handoff, 9(513) steal, 22/12/0 yields
gc17(2): 2+1+0 ms, 14 -> 7 MB 175932 -> 12445 (1873689-1861244) objects, 1(6) handoff, 3(147) steal, 22/12/2 yields
gc18(2): 6+1+0 ms, 14 -> 7 MB 169251 -> 12359 (2047341-2034982) objects, 0(0) handoff, 2(238) steal, 22/13/1 yields
gc19(2): 2+1+0 ms, 14 -> 7 MB 160234 -> 12705 (2210920-2198215) objects, 0(0) handoff, 4(280) steal, 22/4/0 yields
