gc1(1): 5+0+186+0 us, 0 -> 0 MB, 18 (19-1) objects, 0/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc2(1): 4+1+316+1 us, 0 -> 0 MB, 208 (209-1) objects, 12/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc3(1): 1+0+360+1 us, 0 -> 0 MB, 565 (616-51) objects, 33/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc4(2): 755+4+10745+2 us, 0 -> 0 MB, 2361 (2608-247) objects, 52/8/0 sweeps, 1(2) handoff, 6(114) steal, 16/10/14 yields
gc5(2): 2463+2+3395+13 us, 0 -> 1 MB, 6298 (6676-378) objects, 90/0/0 sweeps, 0(0) handoff, 7(163) steal, 16/1/0 yields
gc6(1): 21+14+2858+1 us, 1 -> 3 MB, 15684 (18565-2881) objects, 188/1/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc7(2): 6+6+1621+2 us, 1 -> 2 MB, 14259 (28924-14665) objects, 376/1/0 sweeps, 0(0) handoff, 1(17) steal, 16/10/1 yields
gc8(2): 5+9+1668+1 us, 1 -> 2 MB, 14536 (39712-25176) objects, 376/1/0 sweeps, 1(2) handoff, 2(20) steal, 19/4/0 yields
gc9(2): 1+7+3114+1 us, 1 -> 2 MB, 13972 (49530-35558) objects, 376/0/0 sweeps, 0(0) handoff, 7(220) steal, 16/1/0 yields
gc10(2): 1+3185+12+17 us, 1 -> 3 MB, 17867 (62532-44665) objects, 376/0/0 sweeps, 0(0) handoff, 7(220) steal, 16/1/0 yields
gc11(2): 24+5+1418+1 us, 1 -> 3 MB, 19292 (77210-57918) objects, 484/6/0 sweeps, 0(0) handoff, 1(3) steal, 13/0/0 yields
gc12(2): 2+2844+1+154 us, 1 -> 3 MB, 18071 (90905-72834) objects, 492/7/0 sweeps, 0(0) handoff, 7(226) steal, 16/10/1 yields
gc13(2): 1+6+1614+197 us, 2 -> 4 MB, 20139 (106514-86375) objects, 492/324/0 sweeps, 0(0) handoff, 1(13) steal, 16/10/1 yields
gc14(2): 1+11+1424+1 us, 1 -> 3 MB, 20220 (122275-102055) objects, 510/5/0 sweeps, 0(0) handoff, 1(9) steal, 16/1/0 yields
gc15(2): 2+728+2689+14 us, 1 -> 3 MB, 13151 (131182-118031) objects, 510/19/0 sweeps, 0(0) handoff, 6(110) steal, 16/1/0 yields
gc16(2): 1+6+3139+0 us, 1 -> 3 MB, 19185 (146019-126834) objects, 510/1/0 sweeps, 0(0) handoff, 7(200) steal, 16/1/0 yields
gc17(2): 1+3002+11+146 us, 2 -> 4 MB, 20707 (162326-141619) objects, 510/116/0 sweeps, 1(2) handoff, 7(226) steal, 16/10/1 yields
gc18(2): 7+9+1556+0 us, 1 -> 3 MB, 18397 (176360-157963) objects, 521/0/0 sweeps, 0(0) handoff, 1(14) steal, 9/0/0 yields
gc19(2): 25+13+2838+1 us, 1 -> 3 MB, 18824 (190832-172008) objects, 521/1/0 sweeps, 0(0) handoff, 4(201) steal, 10/0/0 yields
gc20(2): 1+3096+1+10 us, 1 -> 3 MB, 20750 (207181-186431) objects, 521/220/0 sweeps, 0(0) handoff, 7(226) steal, 16/1/0 yields
gc21(2): 22+6+1507+1 us, 1 -> 2 MB, 13110 (216008-202898) objects, 521/0/0 sweeps, 0(0) handoff, 2(10) steal, 16/1/0 yields
gc22(2): 1+8+1489+3 us, 2 -> 4 MB, 22996 (234352-211356) objects, 521/0/0 sweeps, 0(0) handoff, 1(17) steal, 16/2/0 yields
gc23(2): 26+12+2977+0 us, 1 -> 2 MB, 14263 (244449-230186) objects, 530/0/0 sweeps, 0(0) handoff, 7(226) steal, 16/1/0 yields
gc24(2): 387+12+2922+1 us, 1 -> 3 MB, 15233 (255229-239996) objects, 530/318/0 sweeps, 0(0) handoff, 7(226) steal, 16/1/0 yields
gc25(2): 23+3+1651+3 us, 1 -> 3 MB, 19409 (270531-251122) objects, 530/325/0 sweeps, 0(0) handoff, 1(10) steal, 16/3/0 yields
gc26(2): 1+9+2966+1 us, 1 -> 3 MB, 19337 (285609-266272) objects, 530/0/0 sweeps, 0(0) handoff, 7(226) steal, 16/1/0 yields
gc27(2): 6+8+1467+1 us, 1 -> 3 MB, 15285 (296608-281323) objects, 530/0/0 sweeps, 0(0) handoff, 2(8) steal, 16/3/0 yields
gc28(2): 1+9+3202+155 us, 2 -> 4 MB, 19410 (311365-291955) objects, 530/26/0 sweeps, 0(0) handoff, 5(179) steal, 16/10/1 yields
gc29(2): 38+3+3029+1 us, 2 -> 4 MB, 21803 (328933-307130) objects, 530/1/0 sweeps, 0(0) handoff, 5(200) steal, 16/1/0 yields
