numgc,nproc,stw,sweep,mark,wait,heap0,heap1,obj,nmalloc,nfree,goroutines,nspan,nbgsweep,npausesweep,nhandoff,nhandoffcnt,nsteal,nstealcnt,nprocyield,nosyield,nsleep
1,1,3,0,125,1,0,0,21,21,0,2,15,0,0,0,0,0,0,0,0,0
2,1,0,0,99,0,0,0,48,49,1,3,19,0,0,0,0,0,0,0,0,0
3,1,1,0,102,0,0,0,178,197,19,5,25,0,0,0,0,0,0,0,0,0
4,1,1,0,139,1,0,0,302,384,82,5,33,0,0,0,0,0,0,0,0,0
5,2,120,4,2438,5,0,0,541,677,136,8,50,0,0,0,0,1,3,16,10,2
6,2,3,3,1015,1,0,1,483,781,298,20,61,28,0,0,0,3,9,16,10,5
7,2,4537,5,3413,6,1,3,10034,10658,624,356,328,2,0,0,0,1,13,16,10,1
8,2,55,4,5780,171,3,6,66494,75098,8604,411,734,3,0,0,0,3,52,16,10,1
9,2,57,3,8242,20,3,7,88433,162042,73609,411,864,513,0,0,0,6,64,16,10,5
10,2,60,5,16078,25,3,7,88680,249271,160591,400,867,662,0,0,0,6,191,16,1,0
11,2,59,2,4086,19,3,7,88177,336079,247902,409,870,663,0,0,0,3,114,16,6,0
12,2,20,5643,11,154,3,7,88435,423263,334828,411,870,667,0,0,0,7,233,16,10,1
13,2,213,120,5659,113,3,7,87553,509126,421573,410,870,651,0,4,40,7,233,16,10,1
14,2,48,12,5879,35,3,7,76176,583116,506940,404,870,668,0,0,0,7,198,16,1,0
15,2,1404,6,6180,15,3,7,84316,665664,581348,410,870,656,0,0,0,7,206,16,1,0
16,2,23,7415,43,573,3,7,88371,752572,664201,405,870,678,0,0,0,7,233,16,1,0
17,2,28,6416,13,26,3,7,89114,840082,750968,410,870,648,0,0,0,7,233,16,1,0
18,2,20,8,3740,14,3,7,88321,926933,838612,411,873,531,0,0,0,2,79,16,2,0
19,2,2347,6,7001,505,3,7,86215,1011043,924828,408,877,657,0,0,0,4,97,16,10,8
20,2,835,5,3842,18,3,7,83363,1092558,1009195,410,879,667,0,0,0,2,4,16,8,0
21,2,226,11,4786,182,3,7,83398,1173890,1090492,409,880,663,0,0,0,6,150,16,10,1
22,2,518,4,2699,11,3,7,87142,1259252,1172110,409,885,676,0,0,0,2,17,8,0,0
23,2,26,6,4969,1074,3,7,88201,1346342,1258141,411,885,645,0,0,0,2,76,16,10,2
24,2,34,5,2539,21,3,7,90551,1434710,1344159,396,885,664,0,0,0,1,21,16,1,0
25,2,24,10,5657,19,3,7,87960,1521069,1433109,411,887,683,0,0,0,1,2,16,1,0
26,2,33,5,7900,15,3,7,83145,1602272,1519127,410,887,653,0,0,0,6,166,16,1,0
27,2,34,5771,1,22,3,7,82461,1683033,1600572,387,887,672,0,0,0,7,233,16,1,0
28,2,24,7,3105,12,3,7,85818,1767260,1681442,401,887,647,0,0,0,2,23,16,10,1
29,2,1660,2430,2859,15,3,7,87994,1853845,1765851,411,887,667,0,0,0,6,75,16,10,2
30,2,18,8856,86,197,3,7,88685,1941285,1852600,410,887,662,0,0,0,6,228,16,10,1
31,2,53,3,5782,14,3,7,88530,2028186,1939656,411,887,624,0,0,0,4,91,16,1,0
32,2,591,5,5077,15,3,7,84189,2110696,2026507,410,887,558,0,0,0,2,47,16,1,0
33,2,44,3,5356,12,3,7,85844,2194115,2108271,411,890,685,0,0,0,1,47,7,0,0
34,2,56,4,14806,148,3,7,85065,2277450,2192385,386,894,672,0,0,0,7,219,16,10,1
35,2,2030,7,10716,21,3,7,86144,2362389,2276245,406,894,673,0,0,0,6,147,16,1,0
36,2,42,3,7079,16,3,7,88803,2449556,2360753,411,894,666,0,0,0,4,130,16,1,0
37,2,69,6,2589,9,3,7,88178,2536260,2448082,385,894,672,0,0,0,1,7,16,3,0
38,2,31,12472,1,24,3,7,86718,2621700,2534982,408,894,659,0,0,0,7,233,16,1,0
39,2,36,11,5761,76,3,7,82639,2702620,2619981,380,894,680,0,0,0,5,41,16,10,1
40,2,615,4,5361,16,3,7,82978,2784116,2701138,393,894,636,0,0,0,3,102,16,1,0
41,2,483,18,5709,19,3,7,86120,2869105,2782985,404,894,670,0,0,0,7,167,16,10,1
42,2,25,8,4353,13,3,7,87350,2955468,2868118,409,894,667,0,0,0,1,6,16,1,0
43,2,78,4,5422,17,3,7,87844,3041819,2953975,410,894,662,0,2,156,7,230,36,14,1
44,2,21,8,6854,21,3,7,87278,3127993,3040715,407,894,660,0,0,0,5,133,16,10,1
45,2,2639,5,5225,13,3,7,83341,3209360,3126019,407,894,664,0,0,0,3,144,16,2,0
46,2,19,10,2982,14,3,7,83007,3290670,3207663,411,894,678,0,0,0,2,33,16,3,0
