gc1(1): 3+0+125+1 us, 0 -> 0 MB, 21 (21-0) objects, 2 goroutines, 15/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc2(1): 0+0+99+0 us, 0 -> 0 MB, 48 (49-1) objects, 3 goroutines, 19/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc3(1): 1+0+102+0 us, 0 -> 0 MB, 178 (197-19) objects, 5 goroutines, 25/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc4(1): 1+0+139+1 us, 0 -> 0 MB, 302 (384-82) objects, 5 goroutines, 33/0/0 sweeps, 0(0) handoff, 0(0) steal, 0/0/0 yields
gc5(2): 120+4+2438+5 us, 0 -> 0 MB, 541 (677-136) objects, 8 goroutines, 50/0/0 sweeps, 0(0) handoff, 1(3) steal, 16/10/2 yields
gc6(2): 3+3+1015+1 us, 0 -> 1 MB, 483 (781-298) objects, 20 goroutines, 61/28/0 sweeps, 0(0) handoff, 3(9) steal, 16/10/5 yields
gc7(2): 4537+5+3413+6 us, 1 -> 3 MB, 10034 (10658-624) objects, 356 goroutines, 328/2/0 sweeps, 0(0) handoff, 1(13) steal, 16/10/1 yields
gc8(2): 55+4+5780+171 us, 3 -> 6 MB, 66494 (75098-8604) objects, 411 goroutines, 734/3/0 sweeps, 0(0) handoff, 3(52) steal, 16/10/1 yields
gc9(2): 57+3+8242+20 us, 3 -> 7 MB, 88433 (162042-73609) objects, 411 goroutines, 864/513/0 sweeps, 0(0) handoff, 6(64) steal, 16/10/5 yields
gc10(2): 60+5+16078+25 us, 3 -> 7 MB, 88680 (249271-160591) objects, 400 goroutines, 867/662/0 sweeps, 0(0) handoff, 6(191) steal, 16/1/0 yields
gc11(2): 59+2+4086+19 us, 3 -> 7 MB, 88177 (336079-247902) objects, 409 goroutines, 870/663/0 sweeps, 0(0) handoff, 3(114) steal, 16/6/0 yields
gc12(2): 20+5643+11+154 us, 3 -> 7 MB, 88435 (423263-334828) objects, 411 goroutines, 870/667/0 sweeps, 0(0) handoff, 7(233) steal, 16/10/1 yields
gc13(2): 213+120+5659+113 us, 3 -> 7 MB, 87553 (509126-421573) objects, 410 goroutines, 870/651/0 sweeps, 4(40) handoff, 7(233) steal, 16/10/1 yields
gc14(2): 48+12+5879+35 us, 3 -> 7 MB, 76176 (583116-506940) objects, 404 goroutines, 870/668/0 sweeps, 0(0) handoff, 7(198) steal, 16/1/0 yields
gc15(2): 1404+6+6180+15 us, 3 -> 7 MB, 84316 (665664-581348) objects, 410 goroutines, 870/656/0 sweeps, 0(0) handoff, 7(206) steal, 16/1/0 yields
gc16(2): 23+7415+43+573 us, 3 -> 7 MB, 88371 (752572-664201) objects, 405 goroutines, 870/678/0 sweeps, 0(0) handoff, 7(233) steal, 16/1/0 yields
gc17(2): 28+6416+13+26 us, 3 -> 7 MB, 89114 (840082-750968) objects, 410 goroutines, 870/648/0 sweeps, 0(0) handoff, 7(233) steal, 16/1/0 yields
gc18(2): 20+8+3740+14 us, 3 -> 7 MB, 88321 (926933-838612) objects, 411 goroutines, 873/531/0 sweeps, 0(0) handoff, 2(79) steal, 16/2/0 yields
gc19(2): 2347+6+7001+505 us, 3 -> 7 MB, 86215 (1011043-924828) objects, 408 goroutines, 877/657/0 sweeps, 0(0) handoff, 4(97) steal, 16/10/8 yields
gc20(2): 835+5+3842+18 us, 3 -> 7 MB, 83363 (1092558-1009195) objects, 410 goroutines, 879/667/0 sweeps, 0(0) handoff, 2(4) steal, 16/8/0 yields
gc21(2): 226+11+4786+182 us, 3 -> 7 MB, 83398 (1173890-1090492) objects, 409 goroutines, 880/663/0 sweeps, 0(0) handoff, 6(150) steal, 16/10/1 yields
gc22(2): 518+4+2699+11 us, 3 -> 7 MB, 87142 (1259252-1172110) objects, 409 goroutines, 885/676/0 sweeps, 0(0) handoff, 2(17) steal, 8/0/0 yields
